Model,MAE,RMSE,R²,Adjusted R²
Linear Regression,4170.886894163592,6041.6796511744515,0.7509130345985207,0.7488467023063515
Ridge Regression,4174.379715775466,6041.721698258853,0.7509095675437587,0.7488432064902002
Random Forest,1223.0276613726282,2234.473537189864,0.9659289086191667,0.9656462675896123
